province_state,country_region,date,confirmed,deaths,recovered,active,admin2
Unknown,Japan,2021-08-25,8,0,,,
Wakayama,Japan,2021-08-25,4219,52,,,
Yamagata,Japan,2021-08-25,3007,49,,,
Yamaguchi,Japan,2021-08-25,4558,85,,,
Yamanashi,Japan,2021-08-25,4145,23,,,
Aichi,Japan,2022-07-14,612518,2107,,,
Akita,Japan,2022-07-14,33789,72,,,
Aomori,Japan,2022-07-14,69890,117,,,
Chiba,Japan,2022-07-14,492669,1811,,,
Ehime,Japan,2022-07-14,52158,143,,,
Fukui,Japan,2022-07-14,42341,46,,,
Fukuoka,Japan,2022-07-14,487375,1292,,,
Fukushima,Japan,2022-07-14,69970,228,,,
Gifu,Japan,2022-07-14,115974,351,,,
Gunma,Japan,2022-07-14,104038,323,,,
Hiroshima,Japan,2022-07-14,178004,499,,,
Hokkaido,Japan,2022-07-14,393458,2105,,,
Hyogo,Japan,2022-07-14,473305,2258,,,
Ibaraki,Japan,2022-07-14,171260,453,,,
Ishikawa,Japan,2022-07-14,64319,199,,,
Iwate,Japan,2022-07-14,41339,97,,,
Kagawa,Japan,2022-07-14,54089,132,,,
Kagoshima,Japan,2022-07-14,105662,215,,,
Kanagawa,Japan,2022-07-14,828946,2251,,,
Kochi,Japan,2022-07-14,33473,116,,,
Kumamoto,Japan,2022-07-14,132178,321,,,
Kyoto,Japan,2022-07-14,226528,757,,,
Mie,Japan,2022-07-14,94964,317,,,
Miyagi,Japan,2022-07-14,100007,202,,,
Miyazaki,Japan,2022-07-14,66071,150,,,
Nagano,Japan,2022-07-14,82479,206,,,
Nagasaki,Japan,2022-07-14,73373,129,,,
Nara,Japan,2022-07-14,100911,394,,,
Niigata,Japan,2022-07-14,79963,91,,,
Oita,Japan,2022-07-14,66416,171,,,
Okayama,Japan,2022-07-14,109851,252,,,
Okinawa,Japan,2022-07-14,284412,497,,,
Osaka,Japan,2022-07-14,1084096,5230,,,
Port Quarantine,Japan,2022-07-14,4463,4,,,
Saga,Japan,2022-07-14,66185,113,,,
Saitama,Japan,2022-07-14,603038,1667,,,
Shiga,Japan,2022-07-14,101736,222,,,
Shimane,Japan,2022-07-14,29093,26,,,
Shizuoka,Japan,2022-07-14,193640,425,,,
Tochigi,Japan,2022-07-14,98551,281,,,
Tokushima,Japan,2022-07-14,26518,86,,,
Tokyo,Japan,2022-07-14,1713982,4592,,,
Tottori,Japan,2022-07-14,19915,20,,,
Toyama,Japan,2022-07-14,43183,97,,,
Unknown,Japan,2022-07-14,8,0,,,
Wakayama,Japan,2022-07-14,49699,118,,,
Yamagata,Japan,2022-07-14,32574,98,,,
Yamaguchi,Japan,2022-07-14,53582,181,,,
Yamanashi,Japan,2022-07-14,37188,68,,,
Aichi,Japan,2022-10-03,1369286,2879,,,
Akita,Japan,2022-10-03,101243,227,,,
Aomori,Japan,2022-10-03,163975,307,,,
Chiba,Japan,2022-10-03,950684,2590,,,
Ehime,Japan,2022-10-03,162883,289,,,
Fukui,Japan,2022-10-03,114823,98,,,
Fukuoka,Japan,2022-10-03,1081517,1970,,,
Fukushima,Japan,2022-10-03,188287,266,,,
Gifu,Japan,2022-10-03,291913,589,,,
Gunma,Japan,2022-10-03,237896,472,,,
Hiroshima,Japan,2022-10-03,434227,764,,,
Hokkaido,Japan,2022-10-03,752285,2597,,,
Hyogo,Japan,2022-10-03,1011317,2860,,,
Ibaraki,Japan,2022-10-03,366245,691,,,
Ishikawa,Japan,2022-10-03,162623,284,,,
Iwate,Japan,2022-10-03,109180,195,,,
Kagawa,Japan,2022-10-03,143071,294,,,
Kagoshima,Japan,2022-10-03,300161,543,,,
Kanagawa,Japan,2022-10-03,1493056,2980,,,
Kochi,Japan,2022-10-03,100550,296,,,
Kumamoto,Japan,2022-10-03,331442,648,,,
Kyoto,Japan,2022-10-03,478549,1069,,,
Mie,Japan,2022-10-03,255249,533,,,
Miyagi,Japan,2022-10-03,261391,397,,,
Miyazaki,Japan,2022-10-03,195856,363,,,
Nagano,Japan,2022-10-03,210025,347,,,
Nagasaki,Japan,2022-10-03,213033,333,,,
Nara,Japan,2022-10-03,221722,531,,,
Niigata,Japan,2022-10-03,235295,163,,,
Oita,Japan,2022-10-03,176585,380,,,
Okayama,Japan,2022-10-03,276204,411,,,
Okinawa,Japan,2022-10-03,501183,727,,,
Osaka,Japan,2022-10-03,2101721,6465,,,
Port Quarantine,Japan,2022-10-03,4463,4,,,
Saga,Japan,2022-10-03,157881,226,,,
Saitama,Japan,2022-10-03,1194557,2402,,,
Shiga,Japan,2022-10-03,234613,326,,,
Shimane,Japan,2022-10-03,83005,94,,,
Shizuoka,Japan,2022-10-03,496144,750,,,
Tochigi,Japan,2022-10-03,225363,494,,,
Tokushima,Japan,2022-10-03,93464,175,,,
Tokyo,Japan,2022-10-03,3178021,5862,,,
Tottori,Japan,2022-10-03,63472,77,,,
Toyama,Japan,2022-10-03,129838,180,,,
Unknown,Japan,2022-10-03,8,0,,,
Wakayama,Japan,2022-10-03,133917,253,,,
Yamagata,Japan,2022-10-03,107137,196,,,
Yamaguchi,Japan,2022-10-03,164526,392,,,
Yamanashi,Japan,2022-10-03,96457,154,,,
Aichi,Japan,2020-06-07,510,34,463,13,
Akita,Japan,2020-06-07,16,0,16,0,
Aomori,Japan,2020-06-07,27,1,26,0,
Chiba,Japan,2020-06-07,912,45,842,25,
Ehime,Japan,2020-06-07,82,4,64,14,
Fukui,Japan,2020-06-07,122,8,113,1,
Fukuoka,Japan,2020-06-07,799,28,641,130,
Fukushima,Japan,2020-06-07,81,0,78,3,
Gifu,Japan,2020-06-07,151,7,142,2,
Gunma,Japan,2020-06-07,151,19,123,9,
Hiroshima,Japan,2020-06-07,165,3,162,0,
Hokkaido,Japan,2020-06-07,1112,90,869,153,
Hyogo,Japan,2020-06-07,699,42,652,5,
Ibaraki,Japan,2020-06-07,168,10,155,3,
Ishikawa,Japan,2020-06-07,299,27,237,35,
Kagawa,Japan,2020-06-07,28,0,28,0,
Kagoshima,Japan,2020-06-07,10,0,10,0,
Kanagawa,Japan,2020-06-07,1396,88,1163,145,
Kochi,Japan,2020-06-07,74,3,71,0,
Kumamoto,Japan,2020-06-07,47,3,44,0,
Kyoto,Japan,2020-06-07,359,18,332,9,
Mie,Japan,2020-06-07,45,1,44,0,
Miyagi,Japan,2020-06-07,88,1,87,0,
Miyazaki,Japan,2020-06-07,17,0,17,0,
Nagano,Japan,2020-06-07,75,0,71,4,
Nagasaki,Japan,2020-06-07,17,1,16,0,
Nara,Japan,2020-06-07,92,2,89,1,
Niigata,Japan,2020-06-07,82,0,81,1,
Oita,Japan,2020-06-07,60,1,58,1,
Okayama,Japan,2020-06-07,25,0,25,0,
Okinawa,Japan,2020-06-07,145,6,137,2,
Osaka,Japan,2020-06-07,1785,84,1628,73,
Port Quarantine,Japan,2020-06-07,216,0,162,54,
Saga,Japan,2020-06-07,45,0,45,0,
Saitama,Japan,2020-06-07,1007,51,920,36,
Shiga,Japan,2020-06-07,100,1,97,2,
Shimane,Japan,2020-06-07,24,0,23,1,
Shizuoka,Japan,2020-06-07,76,1,72,3,
Tochigi,Japan,2020-06-07,66,0,60,6,
Tokushima,Japan,2020-06-07,5,1,4,0,
Tokyo,Japan,2020-06-07,5387,311,4696,380,
Tottori,Japan,2020-06-07,3,0,3,0,
Toyama,Japan,2020-06-07,227,22,199,6,
Unknown,Japan,2020-06-07,8,0,0,8,
Wakayama,Japan,2020-06-07,63,3,60,0,
Yamagata,Japan,2020-06-07,69,0,67,2,
Yamaguchi,Japan,2020-06-07,37,0,36,1,
Yamanashi,Japan,2020-06-07,67,1,62,4,
